investigation	investigation#	investigation+N+SG
observers	observer^s#	observer+N+PL
prelude	prelude#	prelude+N+SG
quarrel	quarrel#	quarrel+N+SG
attorneys	attorney^s#	attorney+N+PL
policemen	policemen#	policemen+N+SG
trial	trial#	trial+N+SG
disclosure	disclosure#	disclosure+N+SG
client	client#	client+N+SG
trial	trial#	trial+N+SG
request	request#	request+N+SG
jury	jury#	jury+N+SG
courtroom	courtroom#	courtroom+N+SG
statements	statement^s#	statement+N+PL
client	client#	client+N+SG
court	court#	court+N+SG
defendants	defendant^s#	defendant+N+PL
property	property#	property+N+SG
trial	trial#	trial+N+SG
defendants	defendant^s#	defendant+N+PL
statements	statement^s#	statement+N+PL
others	other^s#	other+N+PL
bench	bench#	bench+N+SG
defendants	defendant^s#	defendant+N+PL
statements	statement^s#	statement+N+PL
honor	honor#	honor+N+SG
fight	fight#	fight+N+SG
case	case#	case+N+SG
conflict	conflict#	conflict+N+SG
defendants	defendant^s#	defendant+N+PL
business	busines^s#	busines+N+PL
time	time#	time+N+SG
attention	attention#	attention+N+SG
crisis	crisi^s#	crisi+N+PL
address	addres^s#	addres+N+PL
night	night#	night+N+SG
people	people#	people+N+SG
television	television#	television+N+SG
radio	radio#	radio+N+SG
summer	summer#	summer+N+SG
home	home#	home+N+SG
drafts	draft^s#	draft+N+PL
portions	portion^s#	portion+N+PL
address	addres^s#	addres+N+PL
help	help#	help+N+SG
aids	aid^s#	aid+N+PL
telephone	telephone#	telephone+N+SG
midmorning	midmorning#	midmorning+N+SG
spokesman	spokesman#	spokesman+N+SG
address	addres^s#	addres+N+PL
text	text#	text+N+SG
way	way#	way+N+SG
completion	completion#	completion+N+SG
press	pres^s#	pres+N+PL
secretary	secretary#	secretary+N+SG
drafts	draft^s#	draft+N+PL
work	work#	work+N+SG
advisers	adviser^s#	adviser+N+PL
members	member^s#	member+N+PL
staff	staff#	staff+N+SG
address	addres^s#	addres+N+PL
composition	composition#	composition+N+SG
minute	minute#	minute+N+SG
decisions	decision^s#	decision+N+PL
administration	administration#	administration+N+SG
plans	plan^s#	plan+N+PL
crisis	crisi^s#	crisi+N+PL
demands	demand^s#	demand+N+PL
proposals	proposal^s#	proposal+N+PL
city	city#	city+N+SG
cases	cas^s#	cas+N+PL
investigation	investigation#	investigation+N+SG
election	election#	election+N+SG
prosecution	prosecution#	prosecution+N+SG
evidence	evidence#	evidence+N+SG
means	mean^s#	mean+N+PL
cases	cas^s#	cas+N+PL
matter	matter#	matter+N+SG
significance	significance#	significance+N+SG
guilt	guilt#	guilt+N+SG
innocence	innocence#	innocence+N+SG
persons	person^s#	person+N+PL
evidence	evidence#	evidence+N+SG
violation	violation#	violation+N+SG
rights	right^s#	right+N+PL
citizens	citizen^s#	citizen+N+PL
ruling	ruling#	ruling+N+SG
cases	cas^s#	cas+N+PL
cases	cas^s#	cas+N+PL
state	state#	state+N+SG
case	case#	case+N+SG
Contempt	contempt#	contempt+N+SG
proceedings	proceeding^s#	proceeding+N+PL
persons	person^s#	person+N+PL
precincts	precinct^s#	precinct+N+PL
prosecutor	prosecutor#	prosecutor+N+SG
court	court#	court+N+SG
hearings	hearing^s#	hearing+N+PL
jury	jury#	jury+N+SG
subpenas	subpena^s#	subpena+N+PL
persons	person^s#	person+N+PL
election	election#	election+N+SG
investigation	investigation#	investigation+N+SG
individuals	individual^s#	individual+N+PL
courts	court^s#	court+N+PL
building	building#	building+N+SG
jury	jury#	jury+N+SG
attorney	attorney#	attorney+N+SG
election	election#	election+N+SG
judges	judge^s#	judge+N+PL
precinct	precinct#	precinct+N+SG
ward	ward#	ward+N+SG
procedure	procedure#	procedure+N+SG
intimidation	intimidation#	intimidation+N+SG
coercion	coercion#	coercion+N+SG
act	act#	act+N+SG
statements	statement^s#	statement+N+PL
jury	jury#	jury+N+SG
room	room#	room+N+SG
misuse	misuse#	misuse+N+SG
processes	process^s#	process+N+PL
abuse	abuse#	abuse+N+SG
process	proces^s#	proces+N+PL
contempt	contempt#	contempt+N+SG
county	county#	county+N+SG
vindication	vindication#	vindication+N+SG
authority	authority#	authority+N+SG
court	court#	court+N+SG
function	function#	function+N+SG
court	court#	court+N+SG
judge	judge#	judge+N+SG
week	week#	week+N+SG
cases	cas^s#	cas+N+PL
persons	person^s#	person+N+PL
precinct	precinct#	precinct+N+SG
judges	judge^s#	judge+N+PL
cases	cas^s#	cas+N+PL
miscount	miscount#	miscount+N+SG
vote	vote#	vote+N+SG
votes	vote^s#	vote+N+PL
candidate	candidate#	candidate+N+SG
cases	cas^s#	cas+N+PL
judges	judge^s#	judge+N+PL
precincts	precinct^s#	precinct+N+PL
ward	ward#	ward+N+SG
precincts	precinct^s#	precinct+N+PL
ward	ward#	ward+N+SG
precinct	precinct#	precinct+N+SG
ward	ward#	ward+N+SG
precinct	precinct#	precinct+N+SG
ward	ward#	ward+N+SG
case	case#	case+N+SG
judges	judge^s#	judge+N+PL
precinct	precinct#	precinct+N+SG
ward	ward#	ward+N+SG
advisement	advisement#	advisement+N+SG
cases	cas^s#	cas+N+PL
advisement	advisement#	advisement+N+SG
statement	statement#	statement+N+SG
ward	ward#	ward+N+SG
case	case#	case+N+SG
cases	cas^s#	cas+N+PL
trial	trial#	trial+N+SG
persons	person^s#	person+N+PL
care	care#	care+N+SG
program	program#	program+N+SG
security	security#	security+N+SG
taxes	tax^s#	tax+N+PL
workers	worker^s#	worker+N+PL
hospital	hospital#	hospital+N+SG
bills	bill^s#	bill+N+PL
security	security#	security+N+SG
railroad	railroad#	railroad+N+SG
retirement	retirement#	retirement+N+SG
programs	program^s#	program+N+PL
message	message#	message+N+SG
care	care#	care+N+SG
plan	plan#	plan+N+SG
requests	request^s#	request+N+PL
grants	grant^s#	grant+N+PL
scholarships	scholarship^s#	scholarship+N+PL
schools	school^s#	school+N+PL
child	child#	child+N+SG
health	health#	health+N+SG
care	care#	care+N+SG
research	research#	research+N+SG
care	care#	care+N+SG
plan	plan#	plan+N+SG
year	year#	year+N+SG
senator	senator#	senator+N+SG
fight	fight#	fight+N+SG
year	year#	year+N+SG
security	security#	security+N+SG
payroll	payroll#	payroll+N+SG
tax	tax#	tax+N+SG
year	year#	year+N+SG
workers	worker^s#	worker+N+PL
taxes	tax^s#	tax+N+PL
security	security#	security+N+SG
payroll	payroll#	payroll+N+SG
tax	tax#	tax+N+SG
cent	cent#	cent+N+SG
cent	cent#	cent+N+SG
worker	worker#	worker+N+SG
employer	employer#	employer+N+SG
pay	pay#	pay+N+SG
year	year#	year+N+SG
plan	plan#	plan+N+SG
base	base#	base+N+SG
year	year#	year+N+SG
payroll	payroll#	payroll+N+SG
tax	tax#	tax+N+SG
cent	cent#	cent+N+SG
cent	cent#	cent+N+SG
payroll	payroll#	payroll+N+SG
tax	tax#	tax+N+SG
boosts	boost^s#	boost+N+PL
railroad	railroad#	railroad+N+SG
retirement	retirement#	retirement+N+SG
system	system#	system+N+SG
payroll	payroll#	payroll+N+SG
tax	tax#	tax+N+SG
cent	cent#	cent+N+SG
plan	plan#	plan+N+SG
levy	levy#	levy+N+SG
cent	cent#	cent+N+SG
date	date#	date+N+SG
security	security#	security+N+SG
costs	cost^s#	cost+N+PL
Officials	official^s#	official+N+PL
tax	tax#	tax+N+SG
boost	boost#	boost+N+SG
plan	plan#	plan+N+SG
dollars	dollar^s#	dollar+N+PL
benefits	benefit^s#	benefit+N+PL
year	year#	year+N+SG
figures	figure^s#	figure+N+PL
years	year^s#	year+N+PL
parts	part^s#	part+N+PL
health	health#	health+N+SG
plan	plan#	plan+N+SG
grants	grant^s#	grant+N+PL
dollars	dollar^s#	dollar+N+PL
years	year^s#	year+N+PL
payroll	payroll#	payroll+N+SG
taxes	tax^s#	tax+N+PL
care	care#	care+N+SG
plan	plan#	plan+N+SG
benefits	benefit^s#	benefit+N+PL
persons	person^s#	person+N+PL
security	security#	security+N+SG
railroad	railroad#	railroad+N+SG
retirement	retirement#	retirement+N+SG
systems	system^s#	system+N+PL
payment	payment#	payment+N+SG
hospital	hospital#	hospital+N+SG
bills	bill^s#	bill+N+PL
stays	stay^s#	stay+N+PL
days	day^s#	day+N+PL
illness	illnes^s#	illnes+N+PL
patient	patient#	patient+N+SG
day	day#	day+N+SG
cost	cost#	cost+N+SG
days	day^s#	day+N+PL
payment	payment#	payment+N+SG
home	home#	home+N+SG
bills	bill^s#	bill+N+PL
days	day^s#	day+N+PL
discharge	discharge#	discharge+N+SG
hospital	hospital#	hospital+N+SG
patient	patient#	patient+N+SG
days	day^s#	day+N+PL
home	home#	home+N+SG
care	care#	care+N+SG
unit	unit#	unit+N+SG
formula	formula#	formula+N+SG
care	care#	care+N+SG
part	part#	part+N+SG
credit	credit#	credit+N+SG
Hospital	hospital#	hospital+N+SG
outpatient	outpatient#	outpatient+N+SG
clinic	clinic#	clinic+N+SG
diagnostic	diagnostic#	diagnostic+N+SG
service	service#	service+N+SG
costs	cost^s#	cost+N+PL
excess	exces^s#	exces+N+PL
patient	patient#	patient+N+SG
Community	community#	community+N+SG
nurse	nurse#	nurse+N+SG
services	service^s#	service+N+PL
home	home#	home+N+SG
days	day^s#	day+N+PL
illness	illnes^s#	illnes+N+PL
year	year#	year+N+SG
law	law#	law+N+SG
grants	grant^s#	grant+N+PL
states	state^s#	state+N+PL
bills	bill^s#	bill+N+PL
plan	plan#	plan+N+SG
needs	need^s#	need+N+PL
millions	million^s#	million+N+PL
wish	wish#	wish+N+SG
care	care#	care+N+SG
expense	expense#	expense+N+SG
drain	drain#	drain+N+SG
savings	saving^s#	saving+N+PL
children	children#	children+N+SG
hospital	hospital#	hospital+N+SG
stay	stay#	stay+N+SG
proposal	proposal#	proposal+N+SG
needs	need^s#	need+N+PL
requirements	requirement^s#	requirement+N+PL
malingering	malingering#	malingering+N+SG
overcrowding	overcrowding#	overcrowding+N+SG
hospitals	hospital^s#	hospital+N+PL
program	program#	program+N+SG
medicine	medicine#	medicine+N+SG
program	program#	program+N+SG
prepayment	prepayment#	prepayment+N+SG
health	health#	health+N+SG
costs	cost^s#	cost+N+PL
freedom	freedom#	freedom+N+SG
choice	choice#	choice+N+SG
person	person#	person+N+SG
doctor	doctor#	doctor+N+SG
hospital	hospital#	hospital+N+SG
plan	plan#	plan+N+SG
doctor	doctor#	doctor+N+SG
bills	bill^s#	bill+N+PL
patient	patient#	patient+N+SG
care	care#	care+N+SG
plan	plan#	plan+N+SG
proposals	proposal^s#	proposal+N+PL
scholarships	scholarship^s#	scholarship+N+PL
grants	grant^s#	grant+N+PL
schools	school^s#	school+N+PL
schools	school^s#	school+N+PL
student	student#	student+N+SG
load	load#	load+N+SG
need	need#	need+N+SG
health	health#	health+N+SG
care	care#	care+N+SG
people	people#	people+N+SG
medicine	medicine#	medicine+N+SG
dentistry	dentistry#	dentistry+N+SG
costs	cost^s#	cost+N+PL
scholarship	scholarship#	scholarship+N+SG
plan	plan#	plan+N+SG
contributions	contribution^s#	contribution+N+PL
school	school#	school+N+SG
year	year#	year+N+SG
year	year#	year+N+SG
students	student^s#	student+N+PL
schools	school^s#	school+N+PL
money	money#	money+N+SG
scholarships	scholarship^s#	scholarship+N+PL
need	need#	need+N+SG
year	year#	year+N+SG
student	student#	student+N+SG
addition	addition#	addition+N+SG
government	government#	government+N+SG
cost	cost#	cost+N+SG
education	education#	education+N+SG
grant	grant#	grant+N+SG
schools	school^s#	school+N+PL
scholarship	scholarship#	scholarship+N+SG
grants	grant^s#	grant+N+PL
Officials	official^s#	official+N+PL
programs	program^s#	program+N+PL
dollars	dollar^s#	dollar+N+PL
year	year#	year+N+SG
millions	million^s#	million+N+PL
grants	grant^s#	grant+N+PL
dollars	dollar^s#	dollar+N+PL
years	year^s#	year+N+PL
schools	school^s#	school+N+PL
capacity	capacity#	capacity+N+SG
ones	one^s#	one+N+PL
homes	home^s#	home+N+PL
area	area#	area+N+SG
community	community#	community+N+SG
health	health#	health+N+SG
services	service^s#	service+N+PL
dollar	dollar#	dollar+N+SG
year	year#	year+N+SG
grants	grant^s#	grant+N+PL
home	home#	home+N+SG
construction	construction#	construction+N+SG
dollar	dollar#	dollar+N+SG
appropriation	appropriation#	appropriation+N+SG
grants	grant^s#	grant+N+PL
states	state^s#	state+N+PL
homes	home^s#	home+N+PL
grants	grant^s#	grant+N+PL
sum	sum#	sum+N+SG
hospitals	hospital^s#	hospital+N+PL
child	child#	child+N+SG
health	health#	health+N+SG
field	field#	field+N+SG
increase	increase#	increase+N+SG
funds	fund^s#	fund+N+PL
programs	program^s#	program+N+PL
bureau	bureau#	bureau+N+SG
establishment	establishment#	establishment+N+SG
child	child#	child+N+SG
health	health#	health+N+SG
institute	institute#	institute+N+SG
grants	grant^s#	grant+N+PL
states	state^s#	state+N+PL
rehabilitation	rehabilitation#	rehabilitation+N+SG
research	research#	research+N+SG
dollar	dollar#	dollar+N+SG
year	year#	year+N+SG
increase	increase#	increase+N+SG
millions	million^s#	million+N+PL
grants	grant^s#	grant+N+PL
research	research#	research+N+SG
facilities	facility^s#	facility+N+PL
dollars	dollar^s#	dollar+N+PL
budget	budget#	budget+N+SG
government	government#	government+N+SG
research	research#	research+N+SG
medicine	medicine#	medicine+N+SG
proposals	proposal^s#	proposal+N+PL
elements	element^s#	element+N+PL
health	health#	health+N+SG
program	program#	program+N+SG
people	people#	people+N+SG
knowledge	knowledge#	knowledge+N+SG
services	service^s#	service+N+PL
facilities	facility^s#	facility+N+PL
means	mean^s#	mean+N+PL
reaction	reaction#	reaction+N+SG
message	message#	message+N+SG
lines	line^s#	line+N+PL
Legislators	legislator^s#	legislator+N+PL
year	year#	year+N+SG
security	security#	security+N+SG
system	system#	system+N+SG
plan	plan#	plan+N+SG
plan	plan#	plan+N+SG
year	year#	year+N+SG
message	message#	message+N+SG
message	message#	message+N+SG
opposition	opposition#	opposition+N+SG
insurance	insurance#	insurance+N+SG
care	care#	care+N+SG
plan	plan#	plan+N+SG
year	year#	year+N+SG
trial	trial#	trial+N+SG
program	program#	program+N+SG
thing	thing#	thing+N+SG
prediction	prediction#	prediction+N+SG
fate	fate#	fate+N+SG
pressure	pressure#	pressure+N+SG
chief	chief#	chief+N+SG
senators	senator^s#	senator+N+PL
floor	floor#	floor+N+SG
record	record#	record+N+SG
vote	vote#	vote+N+SG
number	number#	number+N+SG
ayes	aye^s#	aye+N+PL
noes	noe^s#	noe+N+PL
rules	rule^s#	rule+N+PL
order	order#	order+N+SG
approval	approval#	approval+N+SG
leader	leader#	leader+N+SG
administrator	administrator#	administrator+N+SG
home	home#	home+N+SG
finance	finance#	finance+N+SG
agency	agency#	agency+N+SG
years	year^s#	year+N+PL
appointments	appointment^s#	appointment+N+PL
cabinet	cabinet#	cabinet+N+SG
rank	rank#	rank+N+SG
action	action#	action+N+SG
rule	rule#	rule+N+SG
hour	hour#	hour+N+SG
delay	delay#	delay+N+SG
floor	floor#	floor+N+SG
rule	rule#	rule+N+SG
demand	demand#	demand+N+SG
connection	connection#	connection+N+SG
cabinet	cabinet#	cabinet+N+SG
selections	selection^s#	selection+N+PL
element	element#	element+N+SG
meeting	meeting#	meeting+N+SG
discussions	discussion^s#	discussion+N+PL
understanding	understanding#	understanding+N+SG
meetings	meeting^s#	meeting+N+PL
session	session#	session+N+SG
organization	organization#	organization+N+SG
nature	nature#	nature+N+SG
route	route#	route+N+SG
step	step#	step+N+SG
step	step#	step+N+SG
changes	change^s#	change+N+PL
ministers	minister^s#	minister+N+PL
climate	climate#	climate+N+SG
candor	candor#	candor+N+SG
attempt	attempt#	attempt+N+SG
information	information#	information+N+SG
problems	problem^s#	problem+N+PL
atmosphere	atmosphere#	atmosphere+N+SG
relations	relation^s#	relation+N+PL
colonialist	colonialist#	colonialist+N+SG
powers	power^s#	power+N+PL
time	time#	time+N+SG
problems	problem^s#	problem+N+PL
nightmare	nightmare#	nightmare+N+SG
clash	clash#	clash+N+SG
trouble	trouble#	trouble+N+SG
difficulties	difficulty^s#	difficulty+N+PL
changes	change^s#	change+N+PL
tragedies	tragedy^s#	tragedy+N+PL
allies	ally^s#	ally+N+PL
circumstances	circumstance^s#	circumstance+N+PL
troubles	trouble^s#	trouble+N+PL
absence	absence#	absence+N+SG
case	case#	case+N+SG
weeks	week^s#	week+N+PL
NATO	nato#	nato+N+SG
critics	critic^s#	critic+N+PL
policy	policy#	policy+N+SG
relaxation	relaxation#	relaxation+N+SG
tension	tension#	tension+N+SG
explanation	explanation#	explanation+N+SG
positions	position^s#	position+N+PL
explosion	explosion#	explosion+N+SG
council	council#	council+N+SG
surprises	surpris^s#	surpris+N+PL
NATO	nato#	nato+N+SG
votes	vote^s#	vote+N+PL
NATO	nato#	nato+N+SG
committee	committee#	committee+N+SG
future	future#	future+N+SG
topics	topic^s#	topic+N+PL
advance	advance#	advance+N+SG
step	step#	step+N+SG
attempt	attempt#	attempt+N+SG
cars	car^s#	car+N+PL
track	track#	track+N+SG
NATO	nato#	nato+N+SG
locomotive	locomotive#	locomotive+N+SG
manifestations	manifestation^s#	manifestation+N+PL
arms	arm^s#	arm+N+PL
heart	heart#	heart+N+SG
capital	capital#	capital+N+SG
alliance	alliance#	alliance+N+SG
NATO	nato#	nato+N+SG
line	line#	line+N+SG
side	side#	side+N+SG
balance	balance#	balance+N+SG
sheet	sheet#	sheet+N+SG
disappointment	disappointment#	disappointment+N+SG
leadership	leadership#	leadership+N+SG
evidence	evidence#	evidence+N+SG
diplomat	diplomat#	diplomat+N+SG
tenor	tenor#	tenor+N+SG
speeches	speech^s#	speech+N+PL
policies	policy^s#	policy+N+PL
analysis	analysi^s#	analysi+N+PL
danger	danger#	danger+N+SG
points	point^s#	point+N+PL
setbacks	setback^s#	setback+N+PL
administration	administration#	administration+N+SG
policy	policy#	policy+N+SG
vagueness	vaguenes^s#	vaguenes+N+PL
appreciation	appreciation#	appreciation+N+SG
fact	fact#	fact+N+SG
council	council#	council+N+SG
meeting	meeting#	meeting+N+SG
affair	affair#	affair+N+SG
correspondents	correspondent^s#	correspondent+N+PL
impression	impression#	impression+N+SG
days	day^s#	day+N+PL
popularity	popularity#	popularity+N+SG
delegation	delegation#	delegation+N+SG
frame	frame#	frame+N+SG
mind	mind#	mind+N+SG
policy	policy#	policy+N+SG
scale	scale#	scale+N+SG
application	application#	application+N+SG
danger	danger#	danger+N+SG
spots	spot^s#	spot+N+PL
speech	speech#	speech+N+SG
idea	idea#	idea+N+SG
march	march#	march+N+SG
events	event^s#	event+N+PL
administration	administration#	administration+N+SG
months	month^s#	month+N+PL
core	core#	core+N+SG
NATO	nato#	nato+N+SG
attachment	attachment#	attachment+N+SG
alliance	alliance#	alliance+N+SG
cornerstone	cornerstone#	cornerstone+N+SG
policy	policy#	policy+N+SG
submarines	submarine^s#	submarine+N+PL
disposal	disposal#	disposal+N+SG
waters	water^s#	water+N+PL
warning	warning#	warning+N+SG
setback	setback#	setback+N+SG
affirmation	affirmation#	affirmation+N+SG
council	council#	council+N+SG
whole	whole#	whole+N+SG
achievement	achievement#	achievement+N+SG
rekindling	rekindling#	rekindling+N+SG
NATO	nato#	nato+N+SG
realization	realization#	realization+N+SG
friction	friction#	friction+N+SG
place	place#	place+N+SG
globe	globe#	globe+N+SG
essence	essence#	essence+N+SG
conflict	conflict#	conflict+N+SG
societies	society^s#	society+N+PL
regard	regard#	regard+N+SG
distance	distance#	distance+N+SG
lack	lack#	lack+N+SG
connection	connection#	connection+N+SG
spring	spring#	spring+N+SG
meeting	meeting#	meeting+N+SG
impetus	impetu^s#	impetu+N+PL
main	main#	main+N+SG
directions	direction^s#	direction+N+PL
consultation	consultation#	consultation+N+SG
alliance	alliance#	alliance+N+SG
use	use#	use+N+SG
method	method#	method+N+SG
aid	aid#	aid+N+SG
countries	country^s#	country+N+PL
need	need#	need+N+SG
forces	force^s#	force+N+PL
maintenance	maintenance#	maintenance+N+SG
deterrent	deterrent#	deterrent+N+SG
increase	increase#	increase+N+SG
threshold	threshold#	threshold+N+SG
forces	force^s#	force+N+PL
strengthening	strengthening#	strengthening+N+SG
problems	problem^s#	problem+N+PL
